Text,Palestine Sympathy,Israel Sympathy,Palestine Military,Israel Military
"But well before the unofficial negotiations began in Oslo, the Palestinians had taken the initiative which enabled a positive Israeli response. ",n,n,+,+
"However, the Palestinians took the initiative, which made it possible for an Israeli reaction that was constructive, long before the unofficial discussions started in Oslo. ",n,n,+,+
"Hamas has put up steep resistance despite Israel's vow to dismantle the militant group. Israeli forces bombarded cities, towns and refugee camps across Gaza overnight and into Thursday, killing dozens of people in a widening air and ground offensive against Hamas that has forced thousands more to flee from homes and shelters in recent days.",n,n,+,-
"Israel promised to destroy Hamas, but the militant organization has resisted fiercely. Thousands more Palestinians have been forced to evacuate their homes and shelters in recent days as a result of an increasing air and military onslaught against Hamas by Israeli troops.",n,n,+,n
"Israel must stop taking steps that undercut Palestinians ability to govern themselves effectively. Extremist settler violence carried out with impunity, settlement expansion, demolitions, evictions all make it harder – not easier – for Israel to achieve lasting peace and security",+,-,+,-
Israel has to stop taking actions that make it more difficult for the Palestinians to exercise effective self-government.,n,n,+,-
"You are ignoring the multiple peace offers by the Palestinians, which are always ignored in Israeli and western media.
",n,n,+,n
"You are disregarding the Palestinians' many offers of peace, which are consistently disregarded by the Israeli and international media.",n,n,+,-
"The West Bank is Palestinian territory. The establishment of a future Palestinian state will be within the West Bank. The settlements are a major obstacle to future peace. Despite this, the Israeli government is not only building more settlements, they encourage Jews to move there instead of living in Israel.",n,n,+,-
"Palestine claims the West Bank as its own. The West Bank will be the location of the future Palestinian state. The settlements pose a serious threat to enduring peace. In spite of this, the Israeli government not only continues to expand settlements but also actively encourages Jews to relocate there rather than residing in Israel.",n,n,+,-
"Israel states from the river to the sea, Israel will be all that exists. That implies ethnic cleansing. Hamas and other resistance groups have only ever been against the occupational regime that has been oppressing them.",n,n,+,-
The Palestinian resistance will never go away. Israel cannot kill off every last Palestinian. Israel will be isolated. Israelis will flee to other countries. I think Israel as a Jewish state will not survive. Israel cannot exist as a Jewish state in a single Palestinian state. Israel will die sooner if it begins totally Apartheid.,+,-,+,-
